nickName,userLevelName,content,publishTime
F***9,PLUS会员,这是第一次买iPhone，手机特别好，官网上查了序列号，是正品，在老公的指导下，把手机@了，玩了一晚上基本上玩熟了，手机的面容ID解锁也很强大，很灵敏，即使是黑夜解锁也特别快，喜欢。照片是用旧手机拍的，清晰度不高，大家就勉强看看吧。,2019-01-03 08:19:10
金***发,金牌会员,关注这款机子很久了，一直没舍得入手。现在降价了，就马上入手了，首先说这款机子的机型真的是很漂亮，很适合女孩子。单手操作也OK，非常完美。,2019-04-16 19:53:11
毁***吗,PLUS会员,手机收到了，外观设计好看，运行速度快，人脸识别功能灵敏，屏幕显示效果清晰，用了段时间，质量挺好的，京东物流很给力，服务态度也不错。,2018-12-23 21:00:13
S***6,PLUS会员,iPhoneX比我那个iPhone 7好用很多。手机尺寸比iPhone 7大一点点，所以感觉不到大多少，反而屏幕大很多。这点很好！系统是11.4.1，不好用。升级到iOS12后，好很多。其他的不用多说，大家都知道的吧！,2018-10-03 07:34:33
j***8,金牌会员,x双层主板，5.8寸机身小，散热空间小，所以散热很差，打游戏很烫，电池小，续航差。xr单层主板，6.1寸，加上a12的7纳米工艺，功耗低，所以散热非常好，电池大，续航很厉害。iPhone X属于高端版机型，采用全新设计，搭载色彩锐利的OLED屏幕，配备升级后的相机，使用3D面部识别（Face ID）传感器解锁手机，支持AirPower(空中能量)无线充电。分为64GB、256GB两个版本,2018-12-17 22:54:38
2***人,银牌会员,依旧习惯用苹果系统，刘海虽然没有OPPO  Find x 好看接受的，流畅，完美，物流很快，当天到，用了一天，没出现什么问题，,2019-01-08 22:11:59
豪***鸟,PLUS会员,在x和xs之间纠结了一阵，对比了一下，对我来说用的上的升级只有CPU，照相我也很少用，屏幕和外观都一样，价格差了2000，不太值得。和xr比较，x机身更小，单手使用方便，还没有大黑边，屏幕也好一些。昨天下午下单，今天早上就送到了，一如既往的快，我的se可以给爸妈继续服役了。手机开机@一切顺利，上手很快，非常满意,2018-12-29 11:26:03
拉***号,PLUS会员,手机很漂亮，尤其是屏幕，没有刘海就是好看。新机操作很流畅，人脸识别刚开始秒开，用了一周多就感觉没那么灵敏了。指纹倒是很好使。我也不打游戏，所以没有去高负荷运行手机cpu和内存，也无法甄别具体的性能如何。,2019-01-28 08:13:55
1***发,PLUS会员,上下都有喇叭，之前用的6s就没这种音效，屏幕显示也很好，摄像头比起之前用的好很多，改变了很多使用习惯，人脸识别有时候识别不了，总体很满意，玩游戏发热很少，很不错，不好的就是单手操作还是很不方便。,2019-02-23 19:59:06
j***女,钻石会员,这种东西其实也没啥好说的，用习惯苹果就会很喜欢，用起来很顺畅，关键是做工精美！遇上12期免息是真不错，只可惜没有大点的内存，随叫缺钱呢！,2018-12-18 21:01:14
